tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1,358176,True,Mon Jun 10 20:03:00 +0000 2024,"@PixelWaveHelp my hub won't turn on at all, tried 3 different outlets",2,
2,PixelWaveHelp,False,Mon Jun 10 20:17:00 +0000 2024,"Sorry to hear that! Try holding the reset button for 10 seconds, then reconnecting to wifi. If that doesn't work, DM us your device serial number.",,1
3,358176,True,Tue Jun 11 00:01:00 +0000 2024,"still not fixed, this is ridiculous",,2
4,777814,True,Mon Jun 17 01:52:00 +0000 2024,"@PixelWaveHelp i was charged twice for my subscription this month, pls fix",5,
5,PixelWaveHelp,False,Mon Jun 17 02:09:00 +0000 2024,We'd be happy to send an invoice — please DM the email on file and the billing month you need.,,4
6,339643,True,Tue May 14 13:09:00 +0000 2024,"hey @PixelWaveHelp i cant log into my account, it keeps saying wrong password even after reset",7,
7,PixelWaveHelp,False,Tue May 14 14:49:00 +0000 2024,"Hi there, sorry for the trouble! Please try clearing your app cache and requesting a new reset link — if it still fails, DM us your account email and we'll manually unlock it.",,6
8,339643,True,Tue May 14 21:03:00 +0000 2024,"still not fixed, this is ridiculous",,7
9,849078,True,Mon Apr 22 15:43:00 +0000 2024,still no delivery and its been 2 weeks @PixelWaveHelp whats going on,10,
10,PixelWaveHelp,False,Mon Apr 22 16:51:00 +0000 2024,That's not the experience we want for you — please DM your order # and we'll get a replacement shipped out.,,9
11,455953,True,Thu Mar 21 18:19:00 +0000 2024,can i use two hubs in the same house for stereo pairing @PixelWaveHelp,12,
12,638433,True,Fri Apr 12 10:09:00 +0000 2024,"@PixelWaveHelp password reset link is broken, just 404s",13,
13,PixelWaveHelp,False,Fri Apr 12 11:41:00 +0000 2024,"That's frustrating, we hear you. Can you DM your registered email so we can check the 2FA delivery logs on our end?",,12
14,808064,True,Tue Jun 25 02:53:00 +0000 2024,"@PixelWaveHelp order #383051 was supposed to arrive yesterday, tracking hasnt moved in 4 days",15,
15,PixelWaveHelp,False,Tue Jun 25 05:43:00 +0000 2024,That's not the experience we want for you — please DM your order # and we'll get a replacement shipped out.,,14
16,667288,True,Sun May 12 22:24:00 +0000 2024,@PixelWaveHelp when is the blue colorway coming back in stock,17,
17,PixelWaveHelp,False,Sun May 12 22:44:00 +0000 2024,"Yep, stereo pairing works with two of the same model — you can set it up in the app under 'Speaker Groups'.",,16
18,974230,True,Fri May 03 12:25:00 +0000 2024,device randomly disconnects from wifi like 10x a day @PixelWaveHelp pls help,19,
19,PixelWaveHelp,False,Fri May 03 15:59:00 +0000 2024,"Sorry to hear that! Try holding the reset button for 10 seconds, then reconnecting to wifi. If that doesn't work, DM us your device serial number.",,18
20,940710,True,Sat Jun 15 11:43:00 +0000 2024,still no delivery and its been 2 weeks @PixelWaveHelp whats going on,21,
21,PixelWaveHelp,False,Sat Jun 15 11:51:00 +0000 2024,So sorry about the delay! DM your order number and we'll escalate directly with the carrier.,,20
22,475509,True,Sun May 12 00:09:00 +0000 2024,still no delivery and its been 2 weeks @PixelWaveHelp whats going on,23,
23,740531,True,Tue Aug 06 20:43:00 +0000 2024,@PixelWaveHelp does the mini support dolby atmos or just the pro?,24,
24,611439,True,Mon Jun 10 12:25:00 +0000 2024,@PixelWaveHelp i want to cancel my subscription immediately,25,
25,PixelWaveHelp,False,Mon Jun 10 14:22:00 +0000 2024,We're sorry to see you go. DM your account email and we'll process the cancellation right away.,,24
26,611439,True,Mon Jun 10 17:26:00 +0000 2024,"still not fixed, this is ridiculous",,25
27,794315,True,Mon Apr 08 17:06:00 +0000 2024,why did you lock my account?? i didnt do anything wrong @PixelWaveHelp,,
28,PixelWaveHelp,False,Mon Apr 08 19:53:00 +0000 2024,"Hi there, sorry for the trouble! Please try clearing your app cache and requesting a new reset link — if it still fails, DM us your account email and we'll manually unlock it.",,27
29,581853,True,Sun Jun 30 03:07:00 +0000 2024,device randomly disconnects from wifi like 10x a day @PixelWaveHelp pls help,30,
30,PixelWaveHelp,False,Sun Jun 30 06:21:00 +0000 2024,That error usually clears with a factory reset — full steps here: pixelwave.co/reset. Let us know if it persists.,,29
